Class,WGS_1984_UTM_49N_x,WGS_1984_UTM_49N_y
0,740685.70976200000,2565781.17962000000
0,740183.08020000000,2563204.82400000000
0,741130.23160000000,2564202.35200000000
0,741061.35550000000,2564202.07800000000
0,741044.21020000000,2564178.27000000000
0,737053.33452000000,2561550.37816000000
0,741163.13510000000,2564197.79300000000
0,740424.35873900000,2563243.06299000000
0,740617.84500000000,2565785.67000000000
0,740252.24970000000,2563239.08900000000
0,741298.15414500000,2564153.00715000000
0,740348.33521400000,2563213.63032000000
0,740649.21030000000,2564188.88300000000
0,740965.22016700000,2564093.94069000000
0,740096.56492500000,2563359.06522000000
0,741140.83320000000,2564200.84100000000
0,740666.45550000000,2564210.06200000000
0,739120.11720000000,2564164.87200000000
0,743191.91136500000,2567932.49658000000
0,740167.49520000000,2563128.67200000000
0,740440.77099600000,2563199.80531000000
0,741048.77810000000,2564129.96600000000
0,740244.63010000000,2563138.13700000000
0,740306.98720000000,2566046.41500000000
0,740633.49180000000,2565724.75100000000
0,740188.76890000000,2563346.81000000000
0,727283.30520000000,2560487.94600000000
0,740678.56058700000,2565768.80632000000
0,739948.87130000000,2563598.66900000000
0,740692.99438500000,2564222.85293000000
0,739476.70790000000,2563943.90500000000
0,740316.61204600000,2565924.72200000000
0,740968.85363000000,2564129.36308000000
0,741004.64872500000,2564134.33068000000
0,740599.78640000000,2565720.94700000000
0,740245.93140000000,2563309.82700000000
0,743148.39814100000,2567916.59874000000
0,740411.73480700000,2562960.11542000000
0,740673.68760000000,2565808.30000000000
0,740170.26020000000,2563230.50100000000
0,740705.81672700000,2565790.00522000000
0,740909.41759700000,2564571.45627000000
0,740535.57882400000,2563647.45543000000
0,739117.50460000000,2564160.66700000000
0,740580.57191300000,2565676.17197000000
0,742554.08005500000,2568279.05534000000
0,741033.77913400000,2567701.69614000000
0,740850.87717400000,2563772.03840000000
0,741168.24580000000,2564146.69300000000
0,740543.22130000000,2565706.34300000000
0,741145.37310000000,2564133.15000000000
0,739154.28310000000,2564169.09800000000
0,740936.16171400000,2564163.85390000000
0,740593.96720000000,2565743.55300000000
0,740218.99700000000,2563146.98300000000
0,740135.40756200000,2563561.04942000000
0,743512.84502800000,2568494.92458000000
0,737540.46880200000,2561226.55124000000
0,740576.30252900000,2565775.64131000000
0,740691.96910000000,2564173.00200000000
0,740340.73670000000,2566026.44200000000
0,739873.11970000000,2563064.56800000000
0,739970.39600000000,2563614.06700000000
0,740265.74900000000,2563276.78900000000
0,740386.08480000000,2563228.83404000000
0,741082.84920000000,2564146.25700000000
0,741160.30730000000,2564142.51400000000
0,740003.53270000000,2563588.45200000000
0,741173.26760000000,2564185.23200000000
0,741159.38190000000,2564188.50600000000
0,727305.86010000000,2560444.51400000000
0,727309.92290000000,2560480.74800000000
0,740227.24500000000,2563266.10000000000
0,740997.49767800000,2567289.64806000000
0,741027.86570000000,2564159.88100000000
0,740267.68460000000,2563149.33500000000
0,740917.29971600000,2563557.25356000000
0,740942.23991400000,2564136.84190000000
0,740376.63538600000,2565960.55257000000
0,739617.22460000000,2563260.09000000000
0,741175.07550000000,2564171.49400000000
0,740239.43860000000,2563265.76100000000
0,741058.29200000000,2564213.47500000000
0,740607.65750000000,2565764.99800000000
0,739577.95036800000,2563266.63251000000
0,739782.55247000000,2563444.83696000000
0,740015.41174000000,2562332.11667000000
0,740604.74710000000,2565750.19300000000
0,740644.55660000000,2564224.59100000000
0,741448.64722400000,2567053.68131000000
0,742651.17595600000,2568291.90569000000
0,740259.83120000000,2563165.98200000000
0,741047.09349200000,2567217.02292000000
0,740682.54130000000,2565835.81000000000
0,739212.14785700000,2564187.87119000000
0,727316.57750000000,2560465.47100000000
0,740562.07460000000,2565718.85400000000
0,740666.66430000000,2565787.50300000000
0,741141.94420000000,2564192.25200000000
0,739933.79060000000,2563634.42500000000
0,739480.66760000000,2563940.52400000000
0,740229.76577800000,2563121.30948000000
0,743261.26567000000,2567741.22923000000
0,736991.99370300000,2561700.22088000000
0,740410.39158300000,2565725.64448000000
0,739495.65600000000,2563924.20800000000
0,741512.04480000000,2560760.41900000000
0,740254.88950000000,2563319.32200000000
0,740326.48130000000,2566018.99400000000
0,740620.80214400000,2565681.79792000000
0,740650.77301000000,2565780.99932000000
0,741042.88770000000,2564154.01000000000
0,740251.20130000000,2563343.52200000000
0,740673.36321200000,2563776.34822000000
0,743078.15005300000,2567984.14632000000
0,740706.69630000000,2564181.34300000000
0,743127.99980900000,2567881.33090000000
0,727314.07020000000,2560478.31500000000
0,738990.46240900000,2564224.74941000000
0,727304.74670000000,2560524.36700000000
0,727265.97340000000,2560495.12900000000
0,737279.33069400000,2561056.81119000000
0,740605.09940000000,2565707.96400000000
0,736895.41951300000,2562100.14478000000
0,727284.34560000000,2560492.12300000000
0,740219.48374800000,2563334.37970000000
0,739480.44790000000,2563926.13400000000
0,740630.29537900000,2563604.78168000000
0,727293.90640000000,2560502.79200000000
0,727291.29100000000,2560460.20000000000
0,740215.28600000000,2563239.86800000000
0,740294.27775900000,2565986.17707000000
0,739947.62530000000,2563643.41500000000
0,740071.84730000000,2563364.49700000000
0,740396.80367600000,2563178.16397000000
0,741069.09100000000,2564124.23500000000
0,740679.73440000000,2565797.95500000000
0,740670.78410000000,2564189.71200000000
0,740789.28862300000,2564563.94991000000
0,727280.93830000000,2560486.14000000000
0,739592.88370000000,2563262.78600000000
0,727287.88110000000,2560497.88800000000
0,740442.95011600000,2563485.98041000000
0,740199.19980000000,2563314.38600000000
0,740663.60890000000,2564168.21100000000
0,739848.81946600000,2563459.61509000000
0,739932.59372300000,2563559.27294000000
0,740190.26322000000,2563255.27087000000
0,740738.97732100000,2564214.36835000000
0,740957.93660000000,2563656.41908000000
0,743845.63815500000,2567988.16593000000
0,739691.94550000000,2562971.72700000000
0,742567.64626700000,2568325.13785000000
0,739559.41366200000,2563396.34891000000
0,741190.85390000000,2564151.79000000000
0,727279.83680000000,2560469.33300000000
0,742730.10542700000,2567206.84338000000
0,741293.56784500000,2564176.83315000000
1,742275.66590000000,2552893.31600000000
1,739723.08650000000,2557245.77000000000
1,738969.41790000000,2554887.96700000000
1,726241.33460000000,2550971.01900000000
1,745788.43660000000,2556076.93700000000
1,734350.58450000000,2551861.08700000000
1,739249.15420000000,2551871.00700000000
1,742146.95340000000,2554658.04400000000
1,734590.49290000000,2553628.81900000000
1,734319.86980000000,2552326.77700000000
1,740285.35380000000,2550917.04800000000
1,742137.80560000000,2554962.07600000000
1,742971.62260000000,2556377.87100000000
1,737697.78620000000,2552091.92600000000
1,743588.70530000000,2556274.05800000000
1,739754.82960000000,2550946.52300000000
1,745023.68110000000,2555382.02500000000
1,734333.73150000000,2552643.69000000000
1,741165.24370000000,2555164.75200000000
1,735976.35300000000,2553176.79300000000
1,734470.15970000000,2552150.72600000000
1,739635.64840000000,2553715.12800000000
1,736420.70420000000,2553377.38200000000
1,745668.98170000000,2556184.03000000000
1,731157.16350000000,2554174.59600000000
1,742959.02650000000,2556751.95100000000
1,743023.98960000000,2553611.61500000000
1,737600.39570000000,2552386.72400000000
1,737764.66480000000,2555835.99900000000
1,733281.52190000000,2552353.08200000000
1,743006.13710000000,2556757.63000000000
1,741167.19740000000,2555306.26500000000
1,727297.10170000000,2551352.86600000000
1,745064.19470000000,2555437.30700000000
1,734684.77380000000,2551982.38400000000
1,736887.79720000000,2553781.95400000000
1,739079.36590000000,2556816.97500000000
1,737279.94340500000,2551573.07050000000
1,739948.41460000000,2555318.45300000000
1,736196.99830000000,2552988.83000000000
1,735211.59420000000,2552715.11300000000
1,739155.03380000000,2557418.67300000000
1,737660.22650000000,2555846.27200000000
1,741398.68170000000,2554838.75300000000
1,739698.28170000000,2550899.19100000000
1,735997.31480000000,2553719.31100000000
1,739662.04280000000,2556193.35300000000
1,745792.01730000000,2556113.98400000000
1,739647.21210000000,2550914.78800000000
1,736678.28860000000,2554148.55300000000
1,736373.14360000000,2553400.25000000000
1,745078.71450000000,2555378.34200000000
1,740349.29510000000,2551601.51600000000
1,740126.60240000000,2551134.68500000000
1,739432.20810000000,2551592.33200000000
1,737710.56800000000,2551939.96800000000
1,745532.04640000000,2555542.71200000000
1,743027.61500000000,2552800.32800000000
1,736282.18200000000,2553225.24100000000
1,745631.12230000000,2556156.01600000000
1,726145.22200000000,2550655.29000000000
1,733650.71030000000,2552131.51200000000
1,746052.70170000000,2555691.10300000000
1,737493.49650000000,2555798.64800000000
1,745825.89790000000,2555175.17800000000
1,739460.65710000000,2551013.73700000000
1,738893.75080000000,2551824.85200000000
1,739589.31140000000,2553674.73600000000
1,735053.77580000000,2554048.27700000000
1,745447.63960000000,2555693.21000000000
1,735386.71670000000,2552703.37300000000
1,731109.27360000000,2553880.75500000000
1,739686.49830000000,2556105.66900000000
1,733879.42850000000,2552116.46900000000
1,745997.93510000000,2555225.94100000000
1,743110.66560000000,2556248.12400000000
1,736463.82040000000,2551835.05700000000
1,727873.95710000000,2552027.54900000000
1,728874.02821000000,2551619.85333000000
1,735500.78300000000,2551677.12200000000
1,737757.38840000000,2556000.52300000000
1,741526.23120000000,2554751.91700000000
1,743340.63800000000,2554624.67600000000
1,739111.40420000000,2557333.31700000000
1,743055.70630000000,2554623.14200000000
1,746001.43230000000,2555718.04100000000
1,733517.45820000000,2552507.71000000000
1,743657.90670000000,2556460.42000000000
1,738039.55990000000,2552057.07600000000
1,735151.10140000000,2554005.08700000000
1,731445.63820000000,2553285.01600000000
1,735615.18820000000,2551725.12100000000
1,731057.83210000000,2553750.31100000000
1,726006.94786400000,2551304.70360000000
1,726226.20290300000,2551744.43637000000
1,745702.96140000000,2555500.13000000000
1,739485.78080000000,2557118.74500000000
1,729595.56740000000,2555352.56900000000
1,745599.11650000000,2555872.46500000000
1,728106.99210000000,2555303.42500000000
1,739604.00060000000,2553704.91800000000
1,742111.96930000000,2554598.75800000000
1,738918.92360000000,2551937.70400000000
1,739643.30630000000,2557267.10300000000
1,739648.58660000000,2550989.62500000000
1,733403.72340000000,2552335.66100000000
1,740178.22900000000,2550941.44500000000
1,745654.73750000000,2555857.38100000000
1,738246.07486900000,2551930.43735000000
1,739279.09670000000,2551945.40700000000
1,737008.23200000000,2551502.43000000000
1,726219.95290000000,2550980.39900000000
1,736897.76500000000,2553884.43400000000
1,745052.94180000000,2555556.37600000000
1,743382.41340000000,2556249.11100000000
1,733709.96580000000,2552150.22900000000
1,733752.91760000000,2552070.24000000000
1,738821.96040000000,2551562.77800000000
1,739496.57100000000,2553641.48600000000
1,740366.33330000000,2550810.62400000000
1,736373.72690000000,2553399.63300000000
1,733821.24230000000,2552392.14400000000
1,731046.10150000000,2553809.05800000000
1,738765.55680000000,2554027.41900000000
1,737670.55180000000,2551956.81800000000
1,726085.92540000000,2550925.26700000000
1,737742.19590000000,2556029.19300000000
1,731033.94460000000,2554129.39800000000
1,738898.02110000000,2551897.68900000000
1,731104.09440000000,2553784.66700000000
1,739582.11800000000,2551029.22900000000
1,737737.42460000000,2551999.30300000000
1,734352.54780000000,2552768.91300000000
1,738001.48280000000,2551674.07100000000
1,733744.03360000000,2552442.19700000000
1,728689.89170000000,2555775.76500000000
1,733941.99510000000,2554307.70000000000
1,740178.33480000000,2551543.27800000000
1,745896.27220000000,2555419.69600000000
1,737981.62620000000,2551945.19200000000
1,724511.83240000000,2553886.08200000000
1,744661.64023200000,2563188.59726000000
1,741303.18270000000,2569574.65400000000
1,744415.57840000000,2563188.46900000000
1,738628.18190000000,2564737.11400000000
1,726059.37299000000,2551482.48480000000
1,726075.09960000000,2551064.78400000000
1,741317.64060000000,2569457.81000000000
1,724522.42350000000,2553969.82200000000
1,726079.91460000000,2551055.42600000000
1,730361.02850000000,2553158.17000000000
1,730209.53516900000,2553749.55864000000
1,726107.36143500000,2552010.18922000000
1,726019.41890000000,2551010.44000000000
1,723953.39340000000,2552959.22300000000
1,723967.56810000000,2553030.86900000000
1,724506.78680000000,2553900.80900000000
1,724763.27215400000,2552317.97184000000
1,738663.67090000000,2564709.34800000000
1,741370.01934800000,2569488.60668000000
1,744958.52350000000,2563790.93200000000
1,730356.81410000000,2553175.35500000000
1,726236.88287100000,2551037.33183000000
1,742848.03854200000,2566514.68330000000
1,725703.15310000000,2553905.95100000000
1,744362.68610000000,2563096.30900000000
1,744991.57930000000,2563802.45900000000
1,725964.65404100000,2551415.10027000000
1,745853.11670000000,2566907.24700000000
1,744982.21046600000,2564092.87090000000
1,728912.33780000000,2553374.72400000000
1,745901.60970000000,2566834.08800000000
1,744400.91030000000,2563125.06300000000
1,743094.48821100000,2566719.42798000000
1,726053.52990000000,2551010.66600000000
1,724081.52612800000,2552502.88990000000
1,730329.89630000000,2553163.79100000000
1,725918.94711800000,2551685.07564000000
1,741298.27039400000,2569336.19565000000
1,741364.41687000000,2569390.49315000000
1,745134.80482200000,2563984.55818000000
1,726199.08218800000,2551032.87958000000
1,724450.30570000000,2553930.00000000000
1,730252.54856900000,2553739.77964000000
1,743119.69958800000,2566572.19155000000
1,724817.36540000000,2553604.19100000000
1,723919.97550000000,2552944.67400000000
1,745785.88138500000,2566913.13213000000
1,728798.17530000000,2552758.53800000000
1,744963.67060100000,2563731.77597000000
1,723959.45440000000,2552984.87500000000
1,724485.30150000000,2553912.67700000000
1,724471.90800000000,2553992.64500000000
1,744992.07649500000,2564049.35731000000
1,724500.55690000000,2553978.70100000000
1,738643.22260000000,2564625.31400000000
1,724830.24210000000,2553612.76000000000
1,728650.29340000000,2551627.21800000000
1,725622.79918100000,2550978.57694000000
1,741267.95370000000,2569420.03000000000
1,725959.70164300000,2551667.61454000000
1,741316.08880000000,2569517.11900000000
1,730430.42420000000,2553085.03700000000
1,744464.34540000000,2563178.20300000000
1,725987.43585600000,2551609.68916000000
1,738617.21630000000,2564669.32600000000
1,724461.02169300000,2554144.99470000000
1,741231.12814300000,2569539.60766000000
1,725773.10588600000,2551802.51893000000
1,744930.83950000000,2563829.02998000000
1,730361.89160000000,2553102.75900000000
1,738653.91550000000,2564672.82500000000
1,741270.49850000000,2569516.82000000000
1,723476.28763200000,2553082.53459000000
1,738646.02840000000,2564671.23500000000
1,725843.80275400000,2551663.32836000000
1,725714.05762000000,2550961.49958000000
1,724470.94380000000,2553913.39100000000
1,744470.58900000000,2563114.32000000000
1,723901.00620000000,2552907.27100000000
1,744989.34890000000,2563766.06500000000
1,730361.42560000000,2553102.60900000000
1,741231.47669800000,2569794.21842000000
1,724094.47642800000,2552505.54090000000
1,744411.81740000000,2563122.59300000000
1,745892.55690000000,2566924.65300000000
1,725974.69603900000,2551731.58684000000
1,744362.47520000000,2563171.63500000000
1,730361.56910000000,2553071.33100000000
1,745036.96773500000,2563814.65157000000
1,743274.16187700000,2567081.47318000000
1,728949.16510000000,2553392.23800000000
1,728551.44843700000,2551609.11596000000
1,724109.12612800000,2552526.09690000000
1,724520.65280000000,2553947.43100000000
1,730391.46680000000,2553095.42500000000
1,724108.95642800000,2552493.67990000000
1,725699.07654900000,2552144.36281000000
1,738617.63860000000,2564694.96600000000
1,728682.42720000000,2551680.49000000000
1,726198.68295000000,2551917.93008000000
1,728928.53190000000,2553377.15600000000
1,726109.15239200000,2551388.66631000000
1,730253.62356900000,2553721.84464000000
1,730384.14350000000,2553169.04900000000
1,744381.29710000000,2563105.39200000000
1,744413.08950000000,2563173.32000000000
1,741208.95630900000,2569746.70983000000
1,723978.62000000000,2552981.50200000000
1,725759.29349400000,2552813.13197000000
1,741226.17634400000,2569823.93983000000
1,744392.26180000000,2563161.20000000000
1,728670.66420000000,2551607.88200000000
1,730215.60496900000,2553746.91964000000
1,725840.24498100000,2551848.28484000000
1,724483.39250000000,2553905.92300000000
1,728677.62660000000,2551674.00700000000
1,724449.91919300000,2554141.20270000000
1,745066.72198300000,2563859.69288000000
1,730400.99570000000,2553158.43900000000
1,744442.37290000000,2563110.88300000000
1,744685.15882800000,2563233.70409000000
1,730342.08490000000,2553160.77800000000
1,738663.42480000000,2564673.44200000000
1,725787.09761100000,2551775.22355000000
1,723418.31139600000,2552534.63092000000
1,723320.78199300000,2552558.32238000000
1,741263.09625400000,2569597.65651000000
1,744443.79418000000,2563166.57810000000
1,728862.25048000000,2551721.95507000000
1,730363.82730000000,2553153.88900000000
1,724465.88190000000,2553905.68900000000
1,738609.55020000000,2564686.20100000000
1,726385.59035100000,2551017.88811000000
1,728946.69090000000,2553388.01200000000
1,728874.91498000000,2551716.65707000000
1,728546.60253700000,2551618.01696000000
1,744406.41231300000,2563357.72232000000
1,730378.34850000000,2553190.19600000000
1,726186.27174200000,2551783.50875000000
1,742867.49983800000,2566571.73239000000
1,724499.17820000000,2553978.34700000000
1,741237.41225100000,2569863.71302000000
1,724510.78680000000,2554007.20100000000
1,745891.12170000000,2566865.66300000000
1,724669.74824100000,2552295.44462000000
1,745581.21411900000,2566924.02662000000
1,744364.39824100000,2562997.46919000000
1,724518.30240000000,2553964.05200000000
1,738671.38680000000,2564672.39100000000
1,730397.89930000000,2553082.10300000000
1,723947.06120000000,2552959.61900000000
1,723486.30722900000,2552996.96735000000
1,730295.09590000000,2553129.93800000000
1,726037.97730000000,2550984.86700000000
1,738608.24910000000,2564726.35200000000
1,744439.89830000000,2563133.51200000000
1,726117.04471700000,2551350.70558000000
1,728587.12903700000,2551626.82896000000
1,728528.56913700000,2551622.15396000000
2,743002.28760000000,2555130.91900000000
2,739259.28390000000,2552326.45800000000
2,743106.07450000000,2552968.15200000000
2,743007.67030000000,2555318.61500000000
2,741493.09990000000,2554283.51700000000
2,735743.57180000000,2553892.51700000000
2,739948.60910000000,2552225.56500000000
2,740225.99790000000,2551929.06200000000
2,741111.65170000000,2553311.20100000000
2,740392.21590000000,2552186.21900000000
2,742070.59320000000,2552666.67200000000
2,738715.04790000000,2553433.96100000000
2,739028.47960000000,2553197.73800000000
2,744105.82880000000,2557029.35500000000
2,738498.64520000000,2552772.60200000000
2,743145.25890000000,2553347.33700000000
2,743236.90030000000,2555580.14700000000
2,744950.42962900000,2571402.27288000000
2,738593.43830000000,2552585.04600000000
2,742135.95230000000,2553787.51900000000
2,738577.94670000000,2552708.14300000000
2,739115.01150000000,2552637.13500000000
2,740506.64510000000,2557229.33247000000
2,743235.80490000000,2555128.06000000000
2,740470.38080000000,2556823.53200000000
2,743032.75370000000,2555487.26400000000
2,743325.37630000000,2555814.68100000000
2,738938.14700000000,2552840.49300000000
2,738450.89290000000,2552750.86200000000
2,741212.84830000000,2553045.44700000000
2,738383.15090000000,2552937.06200000000
2,742634.08870000000,2553051.53300000000
2,741223.58100000000,2553583.04500000000
2,741304.61990000000,2554349.91800000000
2,740652.14960000000,2557112.63900000000
2,740864.71150000000,2554799.81000000000
2,743698.50970000000,2554923.70400000000
2,741579.39590000000,2552253.52400000000
2,738401.05170000000,2552722.51100000000
2,739670.21570000000,2551661.64800000000
2,743109.28080000000,2555991.68700000000
2,743056.51440000000,2553263.51700000000
2,743026.94520000000,2553023.15900000000
2,743427.12780000000,2566038.61900000000
2,741702.01960000000,2555853.13000000000
2,740016.91660000000,2552526.75200000000
2,741078.10750000000,2554625.87000000000
2,743371.89330000000,2555316.20900000000
2,742736.65990000000,2552851.48500000000
2,741291.62430000000,2553163.55900000000
2,744139.37508300000,2570820.07205000000
2,743298.39960000000,2555532.84700000000
2,741622.89660000000,2555802.48100000000
2,739782.83980000000,2551448.47600000000
2,740348.57160000000,2552631.30000000000
2,741492.90210000000,2554236.43500000000
2,739799.94400000000,2551294.72700000000
2,743091.85240000000,2553281.49900000000
2,744269.16660000000,2556930.26400000000
2,741820.48140000000,2553472.58600000000
2,744503.69530000000,2554962.97700000000
2,741211.91040000000,2554311.57800000000
2,740173.72060000000,2552045.33200000000
2,740590.57520000000,2552774.38400000000
2,741961.73840000000,2553553.15400000000
2,742873.14130000000,2555290.96500000000
2,743452.57570000000,2555683.54600000000
2,741480.70530000000,2554469.10100000000
2,742185.10000000000,2555678.73200000000
2,741695.94200000000,2553878.88000000000
2,735833.40380000000,2554458.17900000000
2,743470.10100300000,2571323.27024000000
2,741126.73810000000,2554270.44000000000
2,738884.46600000000,2552763.51600000000
2,744307.21140000000,2555074.46000000000
2,745308.96720000000,2555435.01100000000
2,743561.10710000000,2555535.88900000000
2,738978.40080000000,2552295.81200000000
2,743442.77070000000,2553465.38300000000
2,742883.45250000000,2554937.35100000000
2,744226.80170000000,2554732.69300000000
2,740455.28430000000,2557893.79600000000
2,744124.62500000000,2557241.55200000000
2,739999.83990000000,2552057.08500000000
2,743935.59280000000,2565685.74600000000
2,741003.49570000000,2554849.35300000000
2,744084.01430000000,2555052.51000000000
2,738854.07230000000,2552584.59100000000
2,738886.83160000000,2553014.62100000000
2,738737.10780000000,2553134.89500000000
2,739744.04170000000,2551482.45800000000
2,743135.95510000000,2555307.36700000000
2,740548.84740000000,2556775.27400000000
2,739450.83140000000,2552731.24200000000
2,744482.34420000000,2557026.34800000000
2,739993.97380000000,2553127.30800000000
2,740292.43970000000,2551946.66500000000
2,738983.38890000000,2553422.08200000000
2,739942.63080000000,2551425.45800000000
2,743118.51090000000,2553006.01500000000
2,744320.24990000000,2554658.22900000000
2,742672.02450000000,2553004.69700000000
2,738720.46600000000,2553043.63200000000
2,738997.25640000000,2552825.13200000000
2,739690.65800000000,2553358.24100000000
2,739710.80170000000,2551603.38000000000
2,741169.75350000000,2554465.22700000000
2,742478.79590000000,2553207.73000000000
2,738545.44250000000,2552675.62500000000
2,739942.06750000000,2552502.73800000000
2,743173.24450000000,2556015.53400000000
2,740055.05510000000,2552313.03900000000
2,743625.15220000000,2555021.01100000000
2,741848.20820000000,2553969.41200000000
2,744312.24420000000,2554875.30900000000
2,739076.74656500000,2553918.97564000000
2,740580.40260000000,2552046.63700000000
2,741632.41900000000,2554489.74000000000
2,738783.24650000000,2552718.61400000000
2,743258.59720000000,2555521.95000000000
2,742287.57090000000,2555841.16900000000
2,739192.41230000000,2553326.53200000000
2,740405.67036000000,2557087.21284000000
2,744221.41840000000,2566141.88300000000
2,743084.39800000000,2555060.83900000000
2,740830.71200000000,2553940.48600000000
2,738657.03630000000,2553393.60700000000
2,743838.93820000000,2554866.66400000000
2,740346.56220000000,2552531.91200000000
2,743762.64090000000,2555122.97600000000
2,743274.35540000000,2555651.80200000000
2,741683.55790000000,2553836.80400000000
2,738799.49740000000,2552602.11200000000
